segment_id,fx,fy,cx,cy,k1,k2,p1,p2,k3
segment-10017090168044687777_6380_000_6400_000_with_camera_labels,2059.612011552946,2059.612011552946,952.4121898799498,634.5872082485005,0.03545287376426267,-0.33830085391165776,1.9229596190070855e-05,0.0007138551068011635,0.0
segment-1005081002024129653_5313_150_5333_150_with_camera_labels.tfrecord_,2083.091212133254,2083.091212133254,957.2938286685071,650.5697927719348,0.04067236637270731,-0.3374271466716414,0.0016273829099200004,-0.0007879327563938157,0.0
segment-10072140764565668044_4060_000_4080_000_with_camera_labels.tfrecord_,2071.3932896281076,2071.3932896281076,952.3805527835524,653.8669872813746,0.05036108992329593,-0.3486531774617277,0.0016151730124412522,-0.000933743404202468,0.0
segment-10075870402459732738_1060_000_1080_000_with_camera_labels.tfrecord_,2056.162291989483,2056.162291989483,954.4857719030827,634.4590788500318,0.029018265503667724,-0.31945342518664166,-0.0001229706076667855,-0.002090407649630748,0.0
segment-10096619443888687526_2820_000_2840_000_with_camera_labels,2060.1425931120934,2060.1425931120934,975.5965057143899,630.853334844486,0.04141289654300018,-0.33489740041263666,0.0005022866894809016,-0.0009337226533304631,0.0
segment-10153695247769592104_787_000_807_000_with_camera_labels,2076.578825612769,2076.578825612769,947.4440671712423,656.171645732233,0.04916097631360702,-0.3395462674641317,0.0025999970820674173,-0.0007876563655895568,0.0
segment-10212406498497081993_5300_000_5320_000_with_camera_labels,2056.162291989483,2056.162291989483,954.4857719030827,634.4590788500318,0.029018265503667724,-0.31945342518664166,-0.0001229706076667855,-0.002090407649630748,0.0
segment-10226164909075980558_180_000_200_000_with_camera_labels,2056.162291989483,2056.162291989483,954.4857719030827,634.4590788500318,0.029018265503667724,-0.31945342518664166,-0.0001229706076667855,-0.002090407649630748,0.0
segment-10235335145367115211_5420_000_5440_000_with_camera_labels,2060.1425931120934,2060.1425931120934,975.5965057143899,630.853334844486,0.04141289654300018,-0.33489740041263666,0.0005022866894809016,-0.0009337226533304631,0.0
segment-10327752107000040525_1120_000_1140_000_with_camera_labels,2060.1425931120934,2060.1425931120934,975.5965057143899,630.853334844486,0.04141289654300018,-0.33489740041263666,0.0005022866894809016,-0.0009337226533304631,0.0
segment-10444454289801298640_4360_000_4380_000_with_camera_labels.tfrecord_,2055.556149361639,2055.556149361639,939.6574698861468,641.0721821943271,0.03231600849798887,-0.3214124825527059,0.0007932583953709973,-0.0006257493541333847,0.0
segment-10498013744573185290_1240_000_1260_000_with_camera_labels.tfrecord_,2056.2823692090583,2056.2823692090583,939.5779800048163,641.1030804525235,0.030161695455207253,-0.27366348163840665,0.001099757907898257,-0.0019278126890982551,0.0
segment-10517728057304349900_3360_000_3380_000_with_camera_labels.tfrecord_,2071.3932896281076,2071.3932896281076,952.3805527835524,653.8669872813746,0.05036108992329593,-0.3486531774617277,0.0016151730124412522,-0.000933743404202468,0.0
segment-10526338824408452410_5714_660_5734_660_with_camera_labels.tfrecord_,2061.4522905395297,2061.4522905395297,939.8783008895555,659.9770064359514,0.05138745787883552,-0.34219100085856835,0.00034570040334582815,-0.00032413807927749675,0.0
segment-10588771936253546636_2300_000_2320_000_with_camera_labels,2071.3932896281076,2071.3932896281076,952.3805527835524,653.8669872813746,0.05036108992329593,-0.3486531774617277,0.0016151730124412522,-0.000933743404202468,0.0
segment-10599748131695282446_1380_000_1400_000_with_camera_labels,2055.556149361639,2055.556149361639,939.6574698861468,641.0721821943271,0.03231600849798887,-0.3214124825527059,0.0007932583953709973,-0.0006257493541333847,0.0
segment-10664823084372323928_4360_000_4380_000_with_camera_labels,2055.556149361639,2055.556149361639,939.6574698861468,641.0721821943271,0.03231600849798887,-0.3214124825527059,0.0007932583953709973,-0.0006257493541333847,0.0
segment-10723911392655396041_860_000_880_000_with_camera_labels.tfrecord_,2055.556149361639,2055.556149361639,939.6574698861468,641.0721821943271,0.03231600849798887,-0.3214124825527059,0.0007932583953709973,-0.0006257493541333847,0.0
segment-10750135302241325253_180_000_200_000_with_camera_labels,2060.1425931120934,2060.1425931120934,975.5965057143899,630.853334844486,0.04141289654300018,-0.33489740041263666,0.0005022866894809016,-0.0009337226533304631,0.0
segment-10793018113277660068_2714_540_2734_540_with_camera_labels,2093.81388565673,2093.81388565673,956.3630561325954,650.1713840894836,0.04233384033029841,-0.34756164036265147,-0.0003538077847607238,-0.001017534866999354,0.0
segment-10876852935525353526_1640_000_1660_000_with_camera_labels,2066.697564417299,2066.697564417299,950.5512774150723,641.1870541472169,0.036260226499726975,-0.35323300768499216,0.0003256378403347263,0.00021755891240936618,0.0
